Sample,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26
Compound Annotation,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Compound3606,7.10079366,7.021093742,6.860640349,6.74948524,7.115930079,7.064487067,7.043323701,6.737783474,6.886518723,6.939118989,6.774039733,7.071922544,6.876724923,6.987951452,6.878699783,7.363201656,7.085802271,7.041528636,6.845634896,6.930411207,6.931105343,6.97604764,6.921631764,6.90600517,7.012054495,6.846351625
Compound4232,6.970664727,7.462955768,7.168991192,6.991118303,7.280061103,7.23855691,6.851963136,7.626396204,7.458830159,7.412046948,7.524487671,7.341100631,7.334531012,7.092921982,7.095815634,6.831349085,7.508598521,7.483239324,7.376024215,7.520309497,7.242210242,7.23765503,7.485715316,7.237864639,7.360427797,7.418384498
Compound4686,7.523871727,7.347399902,6.9547225,7.437700297,7.022799217,7.357666543,7.276895139,7.063681503,6.929439768,7.359479073,7.172747756,7.008873604,7.218809228,6.802735125,7.101943132,7.269583789,7.330338021,6.981667002,7.074386168,7.4270287,7.377689073,7.43805954,7.376613723,7.454465283,7.367143243,7.10729045
Compound3119,5.501061755,5.58993255,5.792812785,5.536168026,5.418114409,5.712752029,5.683926286,5.467648614,5.823712765,5.69686886,5.659206168,5.641623669,5.486659576,5.66394811,5.603572312,5.502959091,5.475411541,5.539875292,5.64663941,5.485707405,5.513847512,5.705512074,5.747048894,5.564420087,5.686411623,5.538964376
Compound7261,6.852212207,6.912479031,7.009587371,6.606547919,6.950510489,6.885695067,6.752263674,6.582129227,7.012767914,6.929685957,6.884875957,7.014597441,6.961092828,6.99243637,6.975040499,6.867391727,6.951365641,6.601609125,6.915406333,6.904029223,6.904125286,6.790113514,6.895920608,6.821370818,6.630254744,6.889182949
Compound985,7.930031126,7.604220884,7.569650524,7.571704653,7.526250222,7.656018453,7.734949391,7.715169002,7.335833487,7.810545459,7.382282282,7.522133654,7.79698769,7.915441138,7.816047764,7.70835332,7.682050939,7.646155245,7.687632945,7.654292694,7.691736069,7.751264083,7.634312301,7.588804335,7.424823276,7.630692261
Compound1636,7.427740453,7.525644433,7.408521551,7.385821182,7.057943848,7.394419712,7.478265337,7.196983059,7.10240966,7.268746319,7.633485828,7.449922699,7.581647041,7.42933969,7.573819495,7.491216443,7.827940002,7.671085895,7.403656508,7.325731108,7.542055706,7.031504016,7.696340452,7.171981719,7.653428612,7.387881293
Compound3422,7.495634121,7.118234698,7.571847974,7.380002188,7.255268876,7.533103432,7.468861833,7.451013558,7.220160864,7.123452145,7.374509671,7.221796111,7.510832379,7.37252628,7.480297463,7.510297065,7.086425983,7.412141165,7.329076411,7.720823213,7.015928694,6.925607189,7.283679575,6.999897869,7.6321254,7.088150193
Compound4038,7.049484888,6.879302452,7.410451473,7.2009948,6.931473378,6.642638028,7.353174802,7.430401086,7.251088019,7.363589511,7.5341139,7.385463149,7.502288737,7.433724329,7.571404642,7.549514341,7.430222713,7.227456449,7.02386284,7.495728735,7.154984605,7.524282632,7.379861728,7.536808688,7.433048084,7.219106897
Compound4251,6.952924128,7.210050994,7.39593982,7.224188238,7.328812134,7.234809889,7.482075793,7.307925398,7.45851285,7.4021767,7.042920962,7.264192711,7.180422635,7.297553372,7.205717401,7.34861629,7.343860102,7.336217573,7.066249471,7.202658983,7.20077523,7.440015357,7.26701515,7.312747648,7.292318364,7.420557346
Compound6563,6.982024012,6.923001795,6.715605755,6.90892378,6.769877461,6.901367724,6.81676665,6.796632935,6.690343687,6.9687019,6.944874263,6.617560841,6.940170463,6.823388958,6.987411474,6.813113123,6.649086568,6.827697936,6.753205391,6.904525191,6.890210735,6.906824014,6.872422615,6.836678207,7.030047223,6.866587554
Compound4620,7.191520603,7.35938413,7.227574185,7.281475919,7.216352422,7.332973939,7.108303992,7.37572011,7.402574033,7.295353507,7.383598489,7.258817856,7.442506547,7.225396705,7.22396325,7.400055683,7.328821063,7.238376106,6.956872317,7.117847778,6.033361593,7.352957668,7.37457621,7.109344771,6.849876935,7.185875346
Compound5896,5.483874654,5.590878386,5.68040767,5.68821079,5.502253508,5.840992793,5.50571468,5.36707499,5.709519949,5.681461175,5.615010925,5.493148395,5.551179617,5.770171028,5.714535813,5.590297158,5.495964002,5.600808087,5.469847813,5.42364443,5.697183485,5.759679049,5.488949207,5.513791812,5.569877825,5.480187241
Compound5974,6.930582688,6.957599377,7.143362955,7.116044246,7.140499778,7.010796263,7.15846109,7.125684278,6.935551758,7.116908555,6.882502794,6.932893715,6.937933926,7.119963032,7.066545813,7.244360345,7.033510762,6.92039593,6.91978806,7.099336368,7.090573309,7.002240077,7.14441655,6.942846268,7.05625969,6.875124083
Compound6370,6.809229729,6.977658332,7.064699636,6.900204244,6.879151581,6.826555387,7.050183737,6.891585224,7.002186287,6.879415993,6.709764128,6.897201275,7.007384756,7.064258238,6.997784252,6.77667183,7.007204976,6.791097374,6.717363965,6.995432423,6.911484439,6.815570769,6.849437602,6.843402349,6.964468253,6.944348215
Compound7435,6.753820028,6.850284138,6.89300546,6.764539308,6.815526778,6.503735404,6.773670193,6.830703329,6.936085322,6.480082187,6.86705842,6.709445824,6.903877773,6.260358328,6.624623569,6.704836685,6.771457308,6.884078553,6.851890462,6.968160765,6.699611484,6.763584317,6.668935036,6.704680084,6.763531041,6.90508883
Compound7977,6.812594434,6.895371685,6.861371842,6.866395766,6.746999111,6.667475521,6.82053844,6.782130541,6.527726247,6.797984634,6.808542489,6.810370345,6.768935519,6.698871069,6.640493881,6.850791327,6.707594344,6.781848584,6.828427831,6.782388003,6.733675608,6.763595372,6.882230112,6.711236669,6.566404264,6.99569881
Compound1481,7.25659847,7.790953726,7.463990605,7.76833617,7.244136368,7.550420932,7.352040237,7.310195347,7.373711996,7.505485035,7.883094224,7.156549887,7.427043369,7.340091356,7.106642708,7.228210702,7.395689541,7.4996024,7.468209452,7.291026974,7.610603917,7.447848761,7.48535814,7.29188345,6.802053776,7.408867355
Compound4298,7.448217987,7.241168988,7.348171904,7.226594808,7.369611517,7.216912056,7.365042634,7.41452492,7.088673212,7.254554961,7.276542726,7.515000129,7.386845908,7.224928603,7.468781952,7.245496665,7.479671804,7.388365302,7.563181557,7.397612411,7.525344047,7.137381473,7.27448193,7.478588754,7.280993869,5.380800486
Compound9429,6.714524745,5.919137472,6.5548296,6.292124376,6.556942688,6.550485121,6.700015017,6.708823773,6.666846505,6.666873142,6.441532283,6.560278499,6.641052931,6.542279268,6.705258399,6.179447605,6.581641594,6.447311192,6.674039303,6.649714831,6.662161037,6.675118835,6.475457647,6.345649615,6.255785966,6.681339398
